Country,Year,New_cases,New_deaths
Afghanistan,2020,51848.0,2158.0
Afghanistan,2021,106054.0,5194.0
Afghanistan,2022,49420.0,493.0
Afghanistan,2023,23053.0,128.0
Afghanistan,2024,4839.0,25.0
Afghanistan,2025,0.0,0.0
Albania,2020,55380.0,1134.0
Albania,2021,151841.0,2053.0
Albania,2022,125449.0,409.0
Albania,2023,1926.0,8.0
Albania,2024,2600.0,4.0
Albania,2025,0.0,0.0
Algeria,2020,97857.0,2722.0
Algeria,2021,118519.0,3507.0
Algeria,2022,54818.0,652.0
Algeria,2023,816.0,0.0
Algeria,2024,196.0,0.0
Algeria,2025,20.0,0.0
American Samoa,2020,0.0,0.0
American Samoa,2021,11.0,0.0
American Samoa,2022,8255.0,34.0
American Samoa,2023,93.0,0.0
American Samoa,2024,0.0,0.0
American Samoa,2025,0.0,0.0
Andorra,2020,7806.0,83.0
Andorra,2021,13924.0,56.0
Andorra,2022,25956.0,19.0
Andorra,2023,329.0,1.0
Andorra,2024,0.0,0.0
Andorra,2025,0.0,0.0
Angola,2020,17149.0,400.0
Angola,2021,53993.0,1346.0
Angola,2022,33928.0,183.0
Angola,2023,1858.0,8.0
Angola,2024,559.0,0.0
Angola,2025,0.0,0.0
Anguilla,2020,12.0,0.0
Anguilla,2021,1634.0,5.0
Anguilla,2022,2258.0,7.0
Anguilla,2023,0.0,0.0
Anguilla,2024,0.0,0.0
Anguilla,2025,0.0,0.0
Antigua and Barbuda,2020,155.0,5.0
Antigua and Barbuda,2021,4074.0,113.0
Antigua and Barbuda,2022,4877.0,28.0
Antigua and Barbuda,2023,0.0,0.0
Antigua and Barbuda,2024,0.0,0.0
Antigua and Barbuda,2025,0.0,0.0
Argentina,2020,1629908.0,47507.0
Argentina,2021,3930008.0,70323.0
Argentina,2022,4331223.0,12294.0
Argentina,2023,153818.0,348.0
Argentina,2024,65719.0,264.0
Argentina,2025,1196.0,11.0
Armenia,2020,157834.0,2768.0
Armenia,2021,186647.0,5175.0
Armenia,2022,101102.0,765.0
Armenia,2023,5843.0,67.0
Armenia,2024,2629.0,9.0
Armenia,2025,212.0,1.0
Aruba,2020,5228.0,47.0
Aruba,2021,11937.0,134.0
Aruba,2022,26587.0,99.0
Aruba,2023,472.0,12.0
Aruba,2024,0.0,0.0
Aruba,2025,0.0,0.0
Australia,2020,28296.0,920.0
Australia,2021,338311.0,1457.0
Australia,2022,10327434.0,15439.0
Australia,2023,1027494.0,6528.0
Australia,2024,139626.0,892.0
Australia,2025,0.0,0.0
Austria,2020,344732.0,7049.0
Austria,2021,907356.0,9538.0
Austria,2022,4426257.0,4984.0
Austria,2023,403825.0,963.0
Austria,2024,867.0,0.0
Austria,2025,81.0,0.0
Azerbaijan,2020,211764.0,2416.0
Azerbaijan,2021,402355.0,5868.0
Azerbaijan,2022,211774.0,1722.0
Azerbaijan,2023,8361.0,347.0
Azerbaijan,2024,2244.0,0.0
Azerbaijan,2025,10.0,0.0
Bahamas,2020,7788.0,169.0
Bahamas,2021,15842.0,544.0
Bahamas,2022,13861.0,120.0
Bahamas,2023,656.0,13.0
Bahamas,2024,980.0,3.0
Bahamas,2025,0.0,0.0
Bahrain,2020,91518.0,351.0
Bahrain,2021,188000.0,1043.0
Bahrain,2022,417096.0,142.0
Bahrain,2023,0.0,0.0
Bahrain,2024,0.0,0.0
Bahrain,2025,0.0,0.0
Bangladesh,2020,509148.0,7452.0
Bangladesh,2021,1074105.0,20608.0
Bangladesh,2022,453771.0,1379.0
Bangladesh,2023,9268.0,38.0
Bangladesh,2024,5251.0,22.0
Bangladesh,2025,67.0,0.0
Barbados,2020,347.0,7.0
Barbados,2021,27282.0,253.0
Barbados,2022,77886.0,308.0
Barbados,2023,2279.0,25.0
Barbados,2024,1043.0,0.0
Barbados,2025,4.0,0.0
Belarus,2020,184922.0,1376.0
Belarus,2021,507679.0,4108.0
Belarus,2022,301436.0,1634.0
Belarus,2023,0.0,0.0
Belarus,2024,8.0,0.0
Belarus,2025,3.0,0.0
Belgium,2020,638760.0,19374.0
Belgium,2021,1409350.0,8818.0
Belgium,2022,2631362.0,5048.0
Belgium,2023,169273.0,1099.0
Belgium,2024,43604.0,0.0
Belgium,2025,2891.0,0.0
Belize,2020,10490.0,228.0
Belize,2021,21013.0,364.0
Belize,2022,38172.0,96.0
Belize,2023,1708.0,0.0
Belize,2024,47.0,0.0
Belize,2025,2.0,0.0
Benin,2020,3205.0,44.0
Benin,2021,21730.0,117.0
Benin,2022,3050.0,2.0
Benin,2023,51.0,0.0
Benin,2024,0.0,0.0
Benin,2025,0.0,0.0
Bermuda,2020,561.0,9.0
Bermuda,2021,5503.0,97.0
Bermuda,2022,12493.0,46.0
Bermuda,2023,303.0,13.0
Bermuda,2024,0.0,0.0
Bermuda,2025,0.0,0.0
Bhutan,2020,597.0,0.0
